rowid	repo	accession	data url	total citations	article reference note; see also: 'COMMENTS'	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	How many merged citation records?	WoS Cited by how many?	COMMENTS	Google Scholar Search Term	Search results	Dropbox filenames (for multiple files or multiple citations)	Imported to Mendeley?	Link ot GS results	MONTH_wos_citingPaper_colxn	DAY_wos_citingPaper_colxn	YEAR_wos_citingPaper_colxn	string matched to (partial) file name to extract data collection date data	Journal (for Journal Archives Set)	"date made public (ArrayExpress, GEO)"	WOS cited by collected (HEPData)	Published and PrePrint INFO (HEPData)	"authors (GEOROC, Journal Archives (International Studies Quarterly = authors (pub. Yr.))"	"jrnl vol year pages (GEOROC); year (ICPSR); pub month, year, volume, issue (JournalArchives - but NOT: International Studies Quarterly; Journal of Peace Research = vol, issue only)"	"article title (GEOROC, JournalArchives)"	misc bibliographic (Biostats; Journal of Applied Econometrics; Journal of Conflict Resolution; International Studies Quarterly); page numbers( Journal of Money Credit and Banking; The Federal Reserve Bank of St Louis Review; American Economic Review); author_title ( Journal of Peace Research)	"article ref when multiple in record, if there was a difference in scope, this version is less inclusive (JournalArchives); article ref from data source (TreeBase)"	data citation (dataset doi) OLD that differ from NEW dataset DOI's (Pangaea)	Total Data Reuses (Pangaea)	Unable to access full text (Pangaea)	Date Recorded (Pangaea)
1121	TreeBASE	S1281	NA	29	NA	"Cruz, F.B., et al., The importance of phylogenetic scale in tests of Bergmann's and Rapoport's rules: lessons from a clade of South American lizards. Journal of Evolutionary Biology, 2005. 18: p.1559"	NA	10.1111/j.1420-9101.2005.00936.x	y	1	1	29	NA	S1281 AND 'TreeBASE'	1 (Data Collection Article)	NA	NA	NA	Dec	8	2010	S1281	NA	NA	NA	NA	NA	NA	NA	NA	"Cruz, F.B., et al., The importance of phylogenetic scale in tests of Bergmann's and Rapoport's rules: lessons from a clade of South American lizards. Journal of Evolutionary Biology, 2005."	NA	NA	NA	NA
1122	TreeBASE	S1316	NA	2	NA	"Braendli, L., et al., Evolutionary history of the greater white-toothed shrew (Crocidura russula) inferred from analysis of mtDNA, Y and X chromosome markers. Molecular Phylogenetics and Evolution, 2005. 37: p.832"	NA	10.1016/j.ympev.2005.06.019	y	1	1	2	NA	S1316 AND 'TreeBASE'	2	NA	y	http://scholar.google.com/scholar?hl=en&q=S1316+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	8	2010	S1316	NA	NA	NA	NA	NA	NA	NA	NA	"Braendli, L., et al., Evolutionary history of the greater white-toothed shrew (Crocidura russula) inferred from analysis of mtDNA, Y and X chromosome markers. Molecular Phylogenetics and Evolution, 2005."	NA	NA	NA	NA
1123	TreeBASE	S1368	NA	NA	NA	"Meerow A., Francisco-ortega J., Kuhn D., & Schnell R. 2005. Phylogenetic Relationships and Biogeography within the Eurasian Clade of Amaryllidaceae Based on Plastid ndhF and nrDNA ITS Sequences: Lineage Sorting in a Reticulate Area?. Systematic Botany, null."	NA	10.1600/036364406775971787	n	NA	NA	NA	NA	S1368 AND 'TreeBASE'	2 (1 is Data Collection Article)	NA	y	http://scholar.google.com/scholar?hl=en&q=S1368+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Meerow, A.W., et al., Phylogenetic Relationships and Biogeography within the Eurasian Clade of Amaryllidaceae Based on Plastid ndhF and nrDNA ITS Sequences: Lineage Sorting in a Reticulate Area? Systematic Botany, 2005."	NA	NA	NA	NA
1124	TreeBASE	S1278	NA	21	NA	"Lindell, J., F.R. M_ndez-de la Cruz, and R.W. Murphy, Deep genealogical history without population differentiation: discordance between mtDNA and allozyme divergence in the zebra tailed lizard (Callisaurus draconoides). Molecular Phylogenetics and Evolution, 2005. 36: p.682"	NA	10.1016/j.ympev.2005.04.031 	y	1	1	21	NA	S1278 AND 'TreeBASE'	1 (Data Collection Article)	NA	NA	NA	Dec	8	2010	S1278	NA	NA	NA	NA	NA	NA	NA	NA	"Lindell, J., F.R. M_ndez-de la Cruz, and R.W. Murphy, Deep genealogical history without population differentiation: discordance between mtDNA and allozyme divergence in the zebra tailed lizard (Callisaurus draconoides). Molecular Phylogenetics and Evolution, 2005."	NA	NA	NA	NA
1125	TreeBASE	S1234	NA	8	NA	"Bleidorn, C., L. Vogt, and T. Bartolomaeus, Molecular Phylogeny of Lugworms (Annelida, Arenicolidae) inferred from three genes. Molecular Phylogenetics and Evolution, 2005. 34: p. 673-679."	NA	10.1016/j.ympev.2004.11.019	y	1	1	8	NA	S1234 AND 'TreeBASE'	1	NA	y	http://scholar.google.com/scholar?hl=en&q=S1234+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	8	2010	S1234	NA	NA	NA	NA	NA	NA	NA	NA	"Bleidorn, C., L. Vogt, and T. Bartolomaeus, Molecular Phylogeny of Lugworms (Annelida, Arenicolidae) inferred from three genes. Molecular Phylogenetics and Evolution, 2005. 34: p. 673-679."	NA	NA	NA	NA
1126	TreeBASE	S1419	NA	1	NA	"Rychel A., Smith S., Shimamoto H., & Swalla B. 2005. Evolution and Development of the Chordates: Collagen and Pharyngeal Cartilage. Molecular Biology and Evolution, 23: p.541"	NA	10.1093/molbev/msj055	y	1	1	1	conflicting page numbers from treebase and ISI	S1419 AND 'TreeBASE'	0	NA	NA	NA	Dec	13	2010	S1419	NA	NA	NA	NA	NA	NA	NA	NA	"Rychel, A.L., et al., Evolution and Development of the Chordates: Collagen and Pharyngeal Cartilage. Molecular Biology and Evolution, 2005. 23: p. 1-9."	NA	NA	NA	NA
1127	TreeBASE	S1463	NA	31	NA	"Lee J., Baum S., Oh S., Jiang C., Chen J., & Bowman J. 2005. Recruitment of CRABS CLAW to promote nectary development within the eudicot clade. Development, 132: p.5021"	NA	10.1242/dev.02067 	y	1	1	31	conflicting page numbers from treebase and ISI	S1463 AND 'TreeBASE'	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Lee, J., et al., Recruitment of CRABS CLAW to promote nectary development within the eudicot clade. Development, 2005. 132: p. 5051-5032."	NA	NA	NA	NA
1128	TreeBASE	S1472	NA	NA	NA	"Eckert A., & Hall B. 2005. Phylogeny, historical biogeography, and patterns of diversification for Pinus (Pinaceae) - phylogenetic tests of fossil-based hypotheses. Molecular Phylogenetics and Evolution, null."	NA	10.1016/j.ympev.2006.03.009 	n	NA	NA	NA	NA	S1472 AND 'TreeBASE'	1 (Data Collection Article)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eckert, A.J. and B.D. Hall, Phylogeny, historical biogeography, and patterns of diversification for Pinus (Pinaceae) - phylogenetic tests of fossil-based hypotheses. Molecular Phylogenetics and Evolution, 2005."	NA	NA	NA	NA
1129	TreeBASE	S2144	NA	NA	NA	"Collado J., Platas G., Bills G., Basilio A., Vicente M., Tormo J., Hernndez P., D_ez M., & Pelez F. 2005. Studies on Morinia. Recognition of Morinia longiappendiculata sp. nov. as a new endophytic fungus, and a new circumscription of Morinia pestalozzioides. Mycologia, 98: 616-627."	NA	10.3852/mycologia.98.4.616	n	NA	NA	NA	NA	S2144 AND 'TreeBASE'	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Collado, J., et al., Studies on Morinia. Recognition of Morinia longiappendiculata sp. nov. as a new endophytic fungus, and a new circumscription of Morinia pestalozzioides. Mycologia, 2005. 98: p. 616-627."	NA	NA	NA	NA
1130	TreeBASE	S1330	NA	12	NA	"Hansen, A., Gilbert, L., Simpson, B., Downie, S., Cervi, A., & Jansen, R. (2006). Phylogenetic relationships and chromosome number evolution in Passiflora. SYSTEMATIC BOTANY, 31(1), 138-150."	NA	10.1600/036364406775971769	n	NA	NA	12	Estephanie did not find this article in WoS because the article wasn't published until 2006.  I imported the citations from WoS to the Dropbox folder on 6/10/11 -jdc; GS search: Added quotes around 'S1330' in search as original search returned 130 results	S1330 AND 'TreeBASE'	2 (1 Data Collection Article)	NA	y	http://scholar.google.com/scholar?hl=en&q=%22S1330%22+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Jun	10	2011	S1330	NA	NA	NA	NA	NA	NA	NA	NA	"Hansen, A.K., et al., Phylogenetic relationships and chromosome number evolution in Passiflora. Systematic Botany, 2005."	NA	NA	NA	NA
1131	TreeBASE	S1306	NA	16	NA	"Takamatsu S., Niinomi S., _lvarez M., _lvarez R., Havrylenko M., & Braun U. 2005. Phylogenetic relationships and generic affinity of Uncinula forestalis inferred from nuclear rDNA sequences. Mycological Research, 109: p.903"	NA	10.1007/s10267-004-0205-9	y	1	1	16	NA	S1306 AND 'TreeBASE'	1	NA	y	http://scholar.google.com/scholar?hl=en&q=S1306+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	15	2010	S1306	NA	NA	NA	NA	NA	NA	NA	NA	"Takamatsu, S., et al., Phylogenetic relationships and generic affinity of Uncinula forestalis inferred from nuclear rDNA sequences. Mycological Research, 2005. 109."	NA	NA	NA	NA
1132	TreeBASE	S1291	NA	14	NA	"Collins A., & Daly M. 2005. A new deepwater species of Stauromedusae, Lucernaria janetae (Cnidaria, Staurozoa, Lucernariidae), and a preliminary investigation of stauromedusan phylogeny based on nuclear and mitochondrial rDNA data. Biological Bulletin, 208: p.221"	NA	10.2307/3593154	y	1	1	14	NA	S1291 AND 'TreeBASE'	0	NA	NA	NA	Dec	15	2010	S1291	NA	NA	NA	NA	NA	NA	NA	NA	"Collins, A.G. and M. Daly, A new deepwater species of Stauromedusae, Lucernaria janetae (Cnidaria, Staurozoa, Lucernariidae), and a preliminary investigation of stauromedusan phylogeny based on nuclear and mitochondrial rDNA data. Biological Bulletin, 2005."	NA	NA	NA	NA
1133	TreeBASE	S1343	NA	12	NA	"Butterworth C., & Wallace R. 2005. Molecular phylogenetics of the leafy cactus genus Pereskia (Cactaceae). Systematic Botany, 30: p.800."	NA	10.1600/036364405775097806	y	1	1	12	NA	S1343 AND 'TreeBASE'	1 (Data Collection ARticle)	NA	NA	NA	Dec	15	2010	S1343	NA	NA	NA	NA	NA	NA	NA	NA	"Butterworth, C.A. and R.S. Wallace, Molecular phylogenetics of the leafy cactus genus Pereskia (Cactaceae). Systematic Botany, 2005."	NA	NA	NA	NA
1134	TreeBASE	S1352	NA	65	NA	"Alsos I., Engelskjn T., Gielly L., Taberlet P., & Brochmann C. 2005. Impact of ice ages on circumpolar molecular diversity: insight from an ecological key species. Molecular Ecology, 14: 2739-2753."	NA	10.1111/j.1365-294X.2005.02621.x	y	1	1	65	NA	S1352 AND 'TreeBASE'	1	NA	y	http://scholar.google.com/scholar?hl=en&q=S1352+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	15	2010	S1352	NA	NA	NA	NA	NA	NA	NA	NA	"Alsos, I.G., et al., Impact of ice ages on circumpolar molecular diversity: insight from an ecological key species. Molecular Ecology, 2005. 14: p. 2739-2753."	NA	NA	NA	NA
1135	TreeBASE	S1326	NA	NA	NA	"Whittall J., Carlson M., Meinke R., & Liston A. 2005. The Mimulus moschatus Alliance (Phrymaceae): Molecular and Morphological Phylogenetics and their Conservation Implications. Systematic Botany, null."	NA	10.1600/036364406777585810	n	NA	NA	NA	NA	S1326 AND 'TreeBASE'	1 (Data Collection ARticle)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Whittall, J.B., et al., The Mimulus moschatus Alliance (Phrymaceae): Molecular and Morphological Phylogenetics and their Conservation Implications. Systematic Botany, 2005."	NA	NA	NA	NA
1136	TreeBASE	S1378	NA	NA	NA	"Janssens S., Geuten K., Yuan Y., Song Y., K_pfer P., & Smets E. 2005. Phylogenetics of Impatiens and Hydrocera (Balsaminaceae) using chloroplast atpB-rbcL spacer sequences. Systematic Botany, null."	NA	10.1600/0363-6445(2006)31[171:poiahb]2.0.co;2	n	NA	NA	NA	NA	S1378 AND 'TreeBASE'	1 (Data Collection ARticle)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Janssens, S.B., et al., Phylogenetics of Impatiens and Hydrocera (Balsaminaceae) using chloroplast atpB-rbcL spacer sequences. Systematic Botany, 2005."	NA	NA	NA	NA
1137	TreeBASE	S1271	NA	NA	NA	"Van coller G., Denman S., Groenewald J., Lamprecht S., & Crous P. 2005. Characterisation and pathogenicity of Cylindrocladiella spp. associated with root and cutting rot symptoms of grapevines in nurseries. Australasian Plant Pathology, null."	NA	10.1071/AP05058	n	NA	NA	NA	NA	S1271 AND 'TreeBASE'	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"van Coller, G.J., et al., Characterisation and pathogenicity of Cylindrocladiella spp. associated with root and cutting rot symptoms of grapevines in nurseries. Australasian Plant Pathology, 2005."	NA	NA	NA	NA
1138	TreeBASE	S1363	NA	3	NA	"Thorn R., Moncalvo J., Redhead S., Lodge D., & Martin M. 2005. A new poroid species of Resupinatus from Puerto Rico, with a reassessment of the cyphelloid genus Stigmatolemma. Mycologia, 97: p.1140."	NA	10.3852/mycologia.97.5.1140	y	1	1	3	NA	S1363 AND 'TreeBASE'	1 (Data Collection ARticle)	NA	NA	NA	Dec	15	2010	S1363	NA	NA	NA	NA	NA	NA	NA	NA	"Thorn, R.G., et al., A new poroid species of Resupinatus from Puerto Rico, with a reassessment of the cyphelloid genus Stigmatolemma. Mycologia, 2005."	NA	NA	NA	NA
1139	TreeBASE	S1324	NA	21	NA	"Agnarsson, I. and M. Kuntner, Madagascar: an unexpected hotspot of social Anelosimus spider diversity (Araneae: Theridiidae). Systematic Entomology, 2005. 30: p.575"	NA	10.1111/j.1365-3113.2005.00289.x	y	2	2	21	NA	S1324 AND 'TreeBASE'	2	NA	y	http://scholar.google.com/scholar?hl=en&q=S1324+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	15	2010	S1324	NA	NA	NA	NA	NA	NA	NA	NA	"Agnarsson, I. and M. Kuntner, Madagascar: an unexpected hotspot of social Anelosimus spider diversity (Araneae: Theridiidae). Systematic Entomology, 2005."	NA	NA	NA	NA
1140	TreeBASE	S1236	NA	4	NA	"Schroers H., Geldenhuis M., Wingfield M., Schoeman M., & Wingfield B. 2005. Classification of the guava wilt fungus Myxosporium psidii, the palm pathogen Gliocladium vermoesenii and the persimmon wilt fungus Acremonium diospyri in Nalanthamala. Mycologia, 97: p.375."	NA	10.3852/mycologia.97.2.375	y	1	1	4	NA	S1236 AND 'TreeBASE'	0	NA	NA	NA	Dec	15	2010	S1236	NA	NA	NA	NA	NA	NA	NA	NA	"Schroers, H.J., et al., Classification of the guava wilt fungus Myxosporium psidii, the palm pathogen Gliocladium vermoesenii and the persimmon wilt fungus Acremonium diospyri in Nalanthamala. Mycologia, 2005."	NA	NA	NA	NA
1141	TreeBASE	S1276	NA	41	NA	"Wortley A., Rudall P., Harris D., & Scotland R. 2005. How Much Data is Needed to Resolve a Difficult Phylogeny? Case Study in Lamiales. Systematic Biology, 54: p.697."	NA	10.1080/10635150500221028	y	3	3	41	NA	S1276 AND 'TreeBASE'	2	NA	y	http://scholar.google.com/scholar?hl=en&q=S1276+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	15	2010	S1276	NA	NA	NA	NA	NA	NA	NA	NA	"Wortley, A.H., et al., How Much Data is Needed to Resolve a Difficult Phylogeny? Case Study in Lamiales. Systematic Biology, 2005."	NA	NA	NA	NA
1142	TreeBASE	S1294	NA	9	NA	"Hyakumachi M., Priyatmojo A., Kubota M., & Fukui H. 2005. New Anastomosis Groups, AG-T and AG-U, of Binucleate Rhizoctonia spp. Causing Root and Stem Rot of Cut-Flower and Miniature Roses. Phytopathology, 95: p.784."	NA	10.1094/PHYTO-95-0784	y	1	1	9	NA	S1294 AND 'TreeBASE'	1 (Data Collection ARticle)	NA	NA	NA	Dec	15	2010	S1294	NA	NA	NA	NA	NA	NA	NA	NA	"Hyakumachi, M., et al., New Anastomosis Groups, AG-T and AG-U, of Binucleate Rhizoctonia spp. Causing Root and Stem Rot of Cut-Flower and Miniature Roses. Phytopathology, 2005. 95."	NA	NA	NA	NA
1143	TreeBASE	S1258	NA	10	NA	"Moline P., & Linder H. 2005. Molecular phylogeny and generic delimitation in the Elegia group (Restionaceae, South Africa) based on a complete taxon sampling and four DNA chloroplast markers. Systematic Botany, 30: p.759."	NA	10.1600/036364405775097842	y	2	2	10	NA	S1258 AND 'TreeBASE'	1 (Data Collection ARticle)	NA	NA	NA	Dec	15	2010	S1258	NA	NA	NA	NA	NA	NA	NA	NA	"Moline, P.M. and H.P. Linder, Molecular phylogeny and generic delimitation in the Elegia group (Restionaceae, South Africa) based on a complete taxon sampling and four DNA chloroplast markers. Systematic Botany, 2005."	NA	NA	NA	NA
1144	TreeBASE	S1252	NA	9	NA	"Tronchet F., Plunkett G., Jeremie J., & Ii P. 2005. Monophyly and major clades of Meryta (Araliaceae). Systematic Botany, 30: p.657."	NA	10.1600/0363644054782279	y	1	1	9	NA	S1252 AND 'TreeBASE'	1 (Data Collection ARticle)	NA	NA	NA	Dec	15	2010	S1252	NA	NA	NA	NA	NA	NA	NA	NA	"Tronchet, F., et al., Monophyly and major clades of Meryta (Araliaceae). Systematic Botany, 2005."	NA	NA	NA	NA
1145	TreeBASE	S1359	NA	NA	NA	"Zhang L., & Simmons M. 2005. Phylogeny and delimitation of the Celastrales inferred from nuclear and plastid genes. Systematic Botany, null."	NA	10.1600/036364406775971778	n	NA	NA	NA	NA	S1359 AND 'TreeBASE'	1 (Data Collection ARticle)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Zhang, L.B. and M.P. Simmons, Phylogeny and delimitation of the Celastrales inferred from nuclear and plastid genes. Systematic Botany, 2005."	NA	NA	NA	NA
1146	TreeBASE	S1275	NA	31	NA	"Phillips A., Rumbos I., Alves A., & Correia A. 2005. Morphology and phylogeny of Botryosphaeria dothidea causing fruit rot of olives. Mycopathologia, 97: p.513."	NA	10.1007/s11046-005-0256-2	y	1	1	31	NA	S1275 AND 'TreeBASE'	1	NA	y	http://scholar.google.com/scholar?hl=en&q=S1275+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	15	2010	S1275	NA	NA	NA	NA	NA	NA	NA	NA	"Phillips, A.J.L., et al., Morphology and phylogeny of Botryosphaeria dothidea causing fruit rot of olives. Mycopathologia, 2005."	NA	NA	NA	NA
1147	TreeBASE	S1333	NA	12	NA	"Hayashi S. 2005. The Molecular Phylogeny of the Buccinidae (Caenogastropoda: Neogastropoda) as Inferred from the Complete Mitochondrial 16S rRNA Gene Sequences of Selected Representatives. Molluscan Research, 25: p.85"	NA	NA	y	1	1	12	NA	S1333 AND 'TreeBASE'	0	NA	NA	NA	Dec	15	2010	S1333	NA	NA	NA	NA	NA	NA	NA	NA	"Hayashi, S., The Molecular Phylogeny of the Buccinidae (Caenogastropoda: Neogastropoda) as Inferred from the Complete Mitochondrial 16S rRNA Gene Sequences of Selected Representatives. Molluscan Research, 2005. 25."	NA	NA	NA	NA
1148	TreeBASE	S1263	NA	10	NA	"Werner O., Jimenez J., Ros R., Cano M., & Guerra J. 2005. Preliminary investigation of the systematics of Didymodon (Pottiaceae, Musci) based on nrITS sequence data. Systematic Botany, 30: p.461"	NA	10.1600/0363644054782198	y	1	1	10	NA	S1263 AND 'TreeBASE'	0	NA	NA	NA	Dec	15	2010	S1263	NA	NA	NA	NA	NA	NA	NA	NA	"Werner, O., et al., Preliminary investigation of the systematics of Didymodon (Pottiaceae, Musci) based on nrITS sequence data. Systematic Botany, 2005. 30."	NA	NA	NA	NA
1149	TreeBASE	S1231	NA	5	NA	"Wilson, N.G. and M.S.Y. Lee, Molecular phylogeny of Chromodoris (Mollusca, Nudibranchia) and the identification of a planar spawning clade. Molecular Phylogenetics and Evolution, 2005. 36: p.722"	NA	10.1016/j.ympev.2005.04.003 	y	1	1	5	NA	S1231 AND 'TreeBASE'	1	NA	y	http://scholar.google.com/scholar?hl=en&q=S1231+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	15	2010	S1231	NA	NA	NA	NA	NA	NA	NA	NA	"Wilson, N.G. and M.S.Y. Lee, Molecular phylogeny of Chromodoris (Mollusca, Nudibranchia) and the identification of a planar spawning clade. Molecular Phylogenetics and Evolution, 2005."	NA	NA	NA	NA
1150	TreeBASE	S1228	NA	1	NA	"Sakayaroj J., Pang K., Phongpaichit S., & Jones E. 2005. A phylogenetic study of the genus Haligena (Halosphaeriales, Ascomycota). Mycologia, 97: p.804."	NA	10.3852/mycologia.97.4.804	y	1	1	1	NA	S1228 AND 'TreeBASE'	2 (1 is Data Collection Article)	NA	y	http://scholar.google.com/scholar?hl=en&q=S1228+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	15	2010	S1228	NA	NA	NA	NA	NA	NA	NA	NA	"Sakayaroj, J., et al., A phylogenetic study of the genus Haligena (Halosphaeriales, Ascomycota). Mycologia, 2005."	NA	NA	NA	NA
1151	TreeBASE	S1418	NA	NA	NA	"Spencer H., Brook F., & Kennedy M. 2005. Phylogeography of Kauri Snails and their allies from Northland, New Zealand (Mollusca: Gastropoda: Rhytididae: Paryphantinae). Molecular Phylogenetics and Evolution, null."	NA	10.1016/j.ympev.2005.10.015 	n	NA	NA	NA	NA	S1418 AND 'TreeBASE'	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Spencer, H.G., F.J. Brook, and M. Kennedy, Phylogeography of Kauri Snails and their allies from Northland, New Zealand (Mollusca: Gastropoda: Rhytididae: Paryphantinae). Molecular Phylogenetics and Evolution, 2005."	NA	NA	NA	NA
1152	TreeBASE	S1500	NA	6	NA	"Manns, U. and A.A. Anderberg, Molecular phylogeny of Anagallis (Myrsinaceae) based on ITS, trnL-F and ndhF sequence data. International Journal of Plant Sciences, 2005. 166: p. 1019-1028."	NA	10.1086/449318	y	1	1	6	NA	S1500 AND 'TreeBASE'	0	NA	NA	NA	Dec	15	2010	S1500	NA	NA	NA	NA	NA	NA	NA	NA	"Manns, U. and A.A. Anderberg, Molecular phylogeny of Anagallis (Myrsinaceae) based on ITS, trnL-F and ndhF sequence data. International Journal of Plant Sciences, 2005. 166: p. 1019-1028."	NA	NA	NA	NA
1153	TreeBASE	S1335	NA	18	NA	"Hirose S., Tanda S., Kiss L., Grigaliunaite B., Havrylenko M., & Takamatsu S. 2005. Molecular phylogeny and evolution of the maple powdery mildew (Sawadaea Miyabe; Erysiphaceae) inferred from nuclear rDNA sequences. Mycological Research, 109: p.912"	NA	10.1017/S0953756205003527	y	1	1	18	NA	S1335 AND 'TreeBASE'	1	NA	y	http://scholar.google.com/scholar?hl=en&q=S1335+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	Dec	15	2010	S1335	NA	NA	NA	NA	NA	NA	NA	NA	"Hirose, S., et al., Molecular phylogeny and evolution of the maple powdery mildew (Sawadaea Miyabe; Erysiphaceae) inferred from nuclear rDNA sequences. Mycological Research, 2005. 109."	NA	NA	NA	NA
1154	TreeBASE	S1425	NA	33	NA	"Luis P., Kellner H., Zimdars B., Langer U., Martin F., & Buscot F. 2005. Patchiness and Spatial Distribution of Laccase Genes of Ectomycorrhizal, Saprotrophic, and Unknown Basidiomycetes in the Upper Horizons of a Mixed Forest Cambisol. Microbial Ecology, 50: 570-579."	NA	10.1007/s00248-005-5047-2	y	1	1	33	NA	S1425 AND 'TreeBASE'	0	NA	NA	NA	Dec	15	2010	S1425	NA	NA	NA	NA	NA	NA	NA	NA	"Luis, P., et al., Patchiness and Spatial Distribution of Laccase Genes of Ectomycorrhizal, Saprotrophic, and Unknown Basidiomycetes in the Upper Horizons of a Mixed Forest Cambisol. Microbial Ecology, 2005. 50: p. 570-579."	NA	NA	NA	NA
1155	TreeBASE	S1323	NA	4	NA	"Vijaykrishna, D., R. Jeewon, and K.D. Hyde, Fusoidispora aquatica: A new ascomycete from Hong Kong based on morphology and phylogeny inferred from rDNA sequences. Sydowia, 2005. 57(2): 267"	NA	NA	y	1	1	4	NA	S1323 AND 'TreeBASE'	0	NA	NA	NA	Dec	16	2010	S1323	NA	NA	NA	NA	NA	NA	NA	NA	"Vijaykrishna, D., R. Jeewon, and K.D. Hyde, Fusoidispora aquatica: A new ascomycete from Hong Kong based on morphology and phylogeny inferred from rDNA sequences. Sydowia, 2005. 57(2)."	NA	NA	NA	NA
1156	TreeBASE	S1229	NA	NA	NA	"Peters J., Mccracken K., Zhuravlev Y., Lu Y., Wilson R., Johnson K., & Omland K. 2005. Phylogenetics of wigeons and allies (Anatidae: Anas): the importance of sampling multiple loci and multiple individuals. Molecular Phylogenetics and Evolution, null."	NA	10.1016/j.ympev.2004.12.017	n	NA	NA	NA	NA	S1229 AND 'TreeBASE'	1 (Data Collection Article)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Peters, J.L., et al., Phylogenetics of wigeons and allies (Anatidae: Anas): the importance of sampling multiple loci and multiple individuals. Molecular Phylogenetics and Evolution, 2005."	NA	NA	NA	NA
1157	TreeBASE	S1232	NA	1	NA	"Ward, P.S., The ant genus Leptanilloides: discovery of the male and evaluation of phylogenetic relationships based on DNA sequence data. Memoirs of the American Entomological Institute, 2005. 77: 647"	NA	NA	y	1	1	1	article in the book Advances in ant systematics (Hymenoptera: Formicidae): homage to E. O. Wilson _ 50 years of contributions	S1232 AND 'TreeBASE'	0	NA	NA	NA	Dec	16	2010	S1232	NA	NA	NA	NA	NA	NA	NA	NA	"Ward, P.S., The ant genus Leptanilloides: discovery of the male and evaluation of phylogenetic relationships based on DNA sequence data. Memoirs of the American Entomological Institute, 2005."	NA	NA	NA	NA
1158	TreeBASE	S1242	NA	2	NA	"Les, D.H., M.L. Moody, and S.W.L. Jacobs, Phylogeny and Systematics of Aponogeton (Aponogetonaceae): The Australian Species. Systematic Botany, 2005. 30: 503"	NA	10.1600/0363644054782215	y	1	1	2	NA	S1242 AND 'TreeBASE'	1 (Data Collection Article)	NA	NA	NA	Dec	16	2010	S1242	NA	NA	NA	NA	NA	NA	NA	NA	"Les, D.H., M.L. Moody, and S.W.L. Jacobs, Phylogeny and Systematics of Aponogeton (Aponogetonaceae): The Australian Species. Systematic Botany, 2005."	NA	NA	NA	NA
1159	TreeBASE	S1284	NA	13	NA	"Sanchez, J.A., Systematics of the bubblegum corals (Cnidaria: Octocorallia: Paragorgiidae) with description of new species from New Zealand and the Eastern Pacific. Zootaxa, 2005."	NA	NA	y	1	1	13	ISBN: 1-877407-18-6 (Moved from 'Data Collection Article DOI' field)	S1284 AND 'TreeBASE'	0	NA	NA	NA	Dec	16	2010	S1284	NA	NA	NA	NA	NA	NA	NA	NA	"Sanchez, J.A., Systematics of the bubblegum corals (Cnidaria: Octocorallia: Paragorgiidae) with description of new species from New Zealand and the Eastern Pacific. Zootaxa, 2005."	NA	NA	NA	NA
